0.99937;0.99426;0.98749;0.97794;0.95967;0.93514;0.91649;0.9086
0.99997;0.99996;0.99986;0.99975;0.99943;0.99824;0.99478;0.99014
0.99554;0.96151;0.93686;0.90553;0.87495;0.82631;0.70553;0.72691
0.99998;0.99909;0.99882;0.99084;0.96695;0.81055;0.70365;0.71897
0.9994;0.98674;0.95033;0.83479;0.51253;0.29067;0.16772;0.096689
0.99995;0.99937;0.99844;0.99716;0.99509;0.99315;0.98443;0.98396
0.99999;0.99999;0.99999;0.99992;0.99989;0.99965;0.88895;0.99374
0.9957;0.97449;0.95432;0.92719;0.89121;0.83544;0.75271;0.69149
0.99751;0.99426;0.99048;0.98233;0.96606;0.9269;0.86175;0.80121
0.98906;0.95456;0.93624;0.91202;0.8782;0.82541;0.75271;0.72186
0.99594;0.95431;0.92457;0.89093;0.84647;0.78649;0.70036;0.63966
0.98371;0.96718;0.95885;0.94761;0.91369;0.87198;0.79916;0.8113
